日期時間,文章ID,標題,內容摘要,推文數,噓文數,瀏覽數,地區,年齡,性別,看板
2025-08-25 18:34:18,P183418000,[醫療] 健保制度檢討,關於 健保制度檢討的詳細討論內容...,146,26,2075,台北市,54,男,PublicServan
2025-08-26 15:35:18,P153518001,[勞工] 薪資成長停滯,關於 薪資成長停滯的詳細討論內容...,158,31,1430,新竹市,41,男,HatePolitics
2025-08-26 07:39:18,P073918002,[勞工] 薪資成長停滯,關於 薪資成長停滯的詳細討論內容...,22,17,3546,高雄市,55,男,HatePolitics
2025-08-25 17:11:18,P171118003,[醫療] 健保制度檢討,關於 健保制度檢討的詳細討論內容...,120,23,4837,基隆市,43,男,home-sale
2025-08-25 15:55:18,P155518004,[問卦] 政府政策到底有沒有效？,關於 政府政策到底有沒有效？的詳細討論內容...,58,45,4623,台中市,27,女,home-sale
2025-08-26 19:51:18,P195118005,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,71,19,3767,台南市,47,女,PublicServan
2025-08-25 12:10:18,P121018006,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,187,48,1180,高雄市,22,女,Gossiping
2025-08-25 12:14:18,P121418007,[環保] 空氣品質改善方案,關於 空氣品質改善方案的詳細討論內容...,182,19,1634,新北市,23,女,home-sale
2025-08-25 21:26:18,P212618008,[勞工] 薪資成長停滯,關於 薪資成長停滯的詳細討論內容...,83,15,2984,桃園市,27,男,Politics
2025-08-26 06:31:18,P063118009,[環保] 空氣品質改善方案,關於 空氣品質改善方案的詳細討論內容...,183,14,3002,新竹市,21,男,HatePolitics
2025-08-26 13:58:18,P135818010,[醫療] 健保制度檢討,關於 健保制度檢討的詳細討論內容...,146,31,3319,台北市,31,女,Salary
2025-08-26 14:14:18,P141418011,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,48,25,1376,新竹市,20,女,PublicServan
2025-08-27 01:48:18,P014818012,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,181,48,540,台北市,39,男,Politics
2025-08-26 05:20:18,P052018013,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,42,27,2331,高雄市,25,男,Salary
2025-08-25 21:45:18,P214518014,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,33,4,1842,高雄市,38,女,Gossiping
2025-08-25 16:13:18,P161318015,[醫療] 健保制度檢討,關於 健保制度檢討的詳細討論內容...,141,43,4430,台南市,47,男,Politics
2025-08-26 22:17:18,P221718016,[新聞] 最新經濟數據出爐,關於 最新經濟數據出爐的詳細討論內容...,41,10,3479,台中市,49,女,Gossiping
2025-08-26 11:01:18,P110118017,[醫療] 健保制度檢討,關於 健保制度檢討的詳細討論內容...,191,31,2589,新北市,48,女,Gossiping
2025-08-25 21:19:18,P211918018,[醫療] 健保制度檢討,關於 健保制度檢討的詳細討論內容...,16,47,4280,台南市,31,女,Politics
2025-08-25 12:19:18,P121918019,[新聞] 最新經濟數據出爐,關於 最新經濟數據出爐的詳細討論內容...,63,46,3496,台南市,20,女,Gossiping
2025-08-25 10:43:18,P104318020,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,131,28,3464,台南市,46,女,home-sale
2025-08-26 02:16:18,P021618021,[環保] 空氣品質改善方案,關於 空氣品質改善方案的詳細討論內容...,72,36,4938,台南市,35,女,Salary
2025-08-27 00:26:18,P002618022,[抱怨] 交通建設進度太慢,關於 交通建設進度太慢的詳細討論內容...,17,25,1963,台北市,39,男,PublicServan
2025-08-25 12:59:18,P125918023,[問卦] 政府政策到底有沒有效？,關於 政府政策到底有沒有效？的詳細討論內容...,48,23,4115,台中市,55,女,Politics
2025-08-25 17:10:18,P171018024,[問卦] 政府政策到底有沒有效？,關於 政府政策到底有沒有效？的詳細討論內容...,121,25,3575,新竹市,42,女,HatePolitics
